,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Lot 241 Level 2 Suria, KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Malaysia",ChIJH5xmLdE3zDERKa4a_IywVck,Suria KLCC Mall,3.1579513,101.7116233,1,50088,OK,"establishment,point_of_interest,shopping_mall"
1,ROOFTOP,"6, Jalan Taman Setiawangsa, Au 2, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJp7mMpJ03zDERQFYGwK_Qnbs,ÆON AU2 (Setiawangsa) Shopping Centre,3.1771604,101.7506833,2,54200,OK,"establishment,point_of_interest,shopping_mall"
2,ROOFTOP,"1, Jalan Metro Prima, Taman Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJfSwIzUFGzDER0wK-BQebvVw,ÆON Metro Prima Shopping Centre,3.2131571,101.6389599,1,52100,OK,"establishment,point_of_interest,shopping_mall"
3,ROOFTOP,"52, Jalan Jejaka, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJI2uKaRM2zDERpt7du-HIaqk,ÆON Taman Maluri Shopping Centre,3.12601,101.7284,1,55100,OK,"establishment,point_of_interest,shopping_mall"
4,GEOMETRIC_CENTER,"F06A, AEON Alpha Angle Shopping Centre, Jalan R1, Wangsa Maju, 53300 Kuala Lumpur, Malaysia",ChIJpRr4jTw4zDERitRozL-O0bk,ÆON Wangsa Maju & Alpha Angle Shopping Centre,3.202363,101.7341453,1,53300,OK,"establishment,point_of_interest"
5,ROOFTOP,"404, Ampang Park, Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Selangor, Malaysia",ChIJCRqX-883zDER71Vdw2_RwGw,Ampang Park (Closed for MRT SSP project)[1],3.1607103,101.7187447,1,50450,OK,"establishment,point_of_interest,shopping_mall"
6,ROOFTOP,"2323 Avenue K, Lubbock, TX 79411, USA",ChIJuQs98Cht_oYRI1XeAtepmnw,Avenue K Shopping Mall,33.5733152,-101.8470651,1,79411,OK,"establishment,point_of_interest,shopping_mall"
7,ROOFTOP,"T117A, 285, Jalan Maarof, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ7_y5Tq9JzDERVkRzAXei3c8,Bangsar Shopping Centre,3.1432377,101.6673674,1,59000,OK,"establishment,point_of_interest,shopping_mall"
8,ROOFTOP,"1, Jalan Telawi 1, Bangsar Baru, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ3frksplJzDER5USO8zLKNs0,Bangsar Village,3.1296713,101.6707564,1,59100,OK,"establishment,point_of_interest,shopping_mall"
9,GEOMETRIC_CENTER,"LOT 01-26, 01-28 & 01-30 1ST FLR, BERJAYA TIMES SQUARE, Jalan Imbi, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",ChIJvX9ogSg2zDERISLhBv4xGOo,Berjaya Times Square,3.1422003,101.7106185,2,55100,OK,"establishment,point_of_interest,store"
10,GEOMETRIC_CENTER,"Jalan Kepong, Jinjang Selatan, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ31oLl85HzDERW9aX56STRI0,Brem Shopping Centre,3.2044172,101.667518,1,52000,OK,"establishment,point_of_interest,shopping_mall"
11,GEOMETRIC_CENTER,"Jalan Bukit Bintang, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJz2ikgy42zDEROwsPkQYYWpE,Bukit Bintang Plaza (Closed for MRT SBK project under renovation),3.1481969,101.7148985,1,,OK,route
